Branch,Bucket,Code,Search,Title
Air Force,0,47GX,47GX Dentist,Dentist
Air Force,0,47HX,47HX Periodontist,Periodontist
Air Force,0,47KX,47KX Pediatric Dentist,Pediatric Dentist
Air Force,0,47PX,47PX Prosthodontist,Prosthodontist
Air Force,0,47SX,47SX Oral and Maxillofacial Surgeon,Oral and Maxillofacial Surgeon
Air Force,0,48AX,48AX Aerospace Medicine Specialist,Aerospace Medicine Specialist
Air Force,0,48EX,48EX Occupational Medicine Specialist,Occupational Medicine Specialist
Air Force,0,48FX,48FX Family Practice Specialist,Family Practice Specialist
Air Force,0,48GX,48GX Aerospace Medicine Physician,Aerospace Medicine Physician
Air Force,0,48PX,48PX Preventive Medicine Specialist,Preventive Medicine Specialist
Air Force,0,51JX,51JX Judge Advocate,Judge Advocate
Air Force,0,52RX,52RX Chaplain,Chaplain
Air Force,0,61SX,61SX Scientist,Scientist
Air Force,0,62EX,62EX Developmental Engineer,Developmental Engineer
Air Force,0,63AX,63AX Acquisition Manager,Acquisition Manager
Air Force,0,64PX,64PX Contracting,Contracting
Air Force,0,65AX,65AX Audit,Audit
Air Force,0,65FX,65FX Financial Management,Financial Management
Air Force,0,65WX,65WX Cost Analysis,Cost Analysis
Air Force,0,71SX,71SX Special Investigator,Special Investigator
Air Force,0,80C0,"80C0 Commander, Cadet Squadron, USAFA","Commander, Cadet Squadron, USAFA"
Air Force,0,81C0,"81C0 Training Commander, OTS","Training Commander, OTS"
Air Force,0,81T0,81T0 Instructor,Instructor
Air Force,0,82A0,82A0 Academic Program Manager,Academic Program Manager
Air Force,0,83R0,83R0 Recruiting Service,Recruiting Service
Air Force,0,84H0,84H0 Historian,Historian
Air Force,0,85G0,85G0 USAF Honor Guard,USAF Honor Guard
Air Force,0,86M0,86M0 Operations Management,Operations Management
Air Force,0,86P0,86P0 Command and Control,Command and Control
Air Force,0,87G0,87G0 Installation Inspector General,Installation Inspector General
Air Force,0,88A0,88A0 Aide-de-Camp,Aide-de-Camp
Air Force,0,88PO,88PO Protocol,Protocol
Air Force,0,8A100,8A100 Career Assistance Adviser,Career Assistance Adviser
Air Force,0,8A200,8A200 Enlisted Aide,Enlisted Aide
Air Force,0,8B000,8B000 Military Training Instructor,Military Training Instructor
Air Force,0,8B100,8B100 Military Training Leader,Military Training Leader
Air Force,0,8B200,8B200 Academy Military Training NCO,Academy Military Training NCO
Air Force,0,8C000,8C000 Family Support Center,Family Support Center
Air Force,0,8D000,8D000 Linguist Debriefer/Interrogator,Linguist Debriefer/Interrogator
Air Force,0,8E+00,8E+00 Research and Development Technician,Research and Development Technician
Air Force,0,8F000,8F000 First Sergeant,First Sergeant
Air Force,0,8G000,8G000 USAF Honor Guard,USAF Honor Guard
Air Force,0,8J000,8J000 Correctional Custody Supervisor,Correctional Custody Supervisor
Air Force,0,8M000,8M000 Postal,Postal
Air Force,0,8P000,8P000 Courier,Courier
Air Force,0,8P100,8P100 Defense Attache,Defense Attache
Air Force,0,8R000,8R000 Recruiter,Recruiter
Air Force,0,8S0X0,8S0X0 Missile Facility Manager,Missile Facility Manager
Air Force,0,8S100,8S100 Sensor Operator,Sensor Operator
Air Force,0,8T000,8T000 Professional Military Education Instructor,Professional Military Education Instructor
Air Force,0,6C0X1,6C0X1 Contracting,Contracting
Air Force,0,6F0X1,6F0X1 Financial Management and Comptroller,Financial Management and Comptroller
Air Force,0,5J0X1,5J0X1 Paralegal,Paralegal
Air Force,0,5R0X1,5R0X1 Chaplain Assistant,Chaplain Assistant
Air Force,0,2A0X1,2A0X1 Avionics Test Station and Components,Avionics Test Station and Components
Air Force,0,2A3X1,"2A3X1 A-10, F-15 and U-2 Avionics Systems","A-10, F-15 and U-2 Avionics Systems"
Air Force,0,2A3X2,"2A3X2 F-16, F-117, RQ-1 and CV-22 Avionics Systems","F-16, F-117, RQ-1 and CV-22 Avionics Systems"
Air Force,0,2A3X3,2A3X3 Tactical Aircraft Maintenance,Tactical Aircraft Maintenance
Air Force,0,2A5X1,2A5X1 Aerospace Maintenance,Aerospace Maintenance
Air Force,0,2A5X2,2A5X2 Helicopter Maintenance,Helicopter Maintenance
Air Force,0,2A5X3,2A5X3 Integrated Avionics Systems,Integrated Avionics Systems
Air Force,0,2A6X1,2A6X1 Aerospace Propulsion,Aerospace Propulsion
Air Force,0,2A6X2,2A6X2 Aerospace Ground Equipment,Aerospace Ground Equipment
Air Force,0,2A6X3,2A6X3 Aircrew Egress Systems,Aircrew Egress Systems
Air Force,0,2A6X4,2A6X4 Aircraft Fuel Systems,Aircraft Fuel Systems
Air Force,0,2A6X5,2A6X5 Aircraft Hydraulic Systems,Aircraft Hydraulic Systems
Air Force,0,2A6X6,2A6X6 Aircraft Electrical and Environmental Systems,Aircraft Electrical and Environmental Systems
Air Force,0,2A7X1,2A7X1 Aircraft Metals Technology,Aircraft Metals Technology
Air Force,0,2A7X2,2A7X2 Nondestructive Inspection,Nondestructive Inspection
Air Force,0,2A7X3,2A7X3 Aircraft Structural Maintenance,Aircraft Structural Maintenance
Air Force,0,2F0X1,2F0X1 Fuels,Fuels
Air Force,0,2G0X1,2G0X1 Logistics Plans,Logistics Plans
Air Force,0,2M0X1,2M0X1 Missile and Space Systems Electronic Maintenance,Missile and Space Systems Electronic Maintenance
Air Force,0,2M0X2,2M0X2 Missile and Space Systems Maintenance,Missile and Space Systems Maintenance
Air Force,0,2M0X3,2M0X3 Missile and Space Facilities,Missile and Space Facilities
Air Force,0,2P0X1,2P0X1 Precision Measurement Equipment Laboratory,Precision Measurement Equipment Laboratory
Air Force,0,2R0X1,2R0X1 Maintenance Management Analysis,Maintenance Management Analysis
Air Force,0,2R1X1,2R1X1 Maintenance Management Production,Maintenance Management Production
Air Force,0,2S0X1,2S0X1 Supply Management,Supply Management
Air Force,0,2S0X2,2S0X2 Supply Systems Analysis,Supply Systems Analysis
Air Force,0,2T0X1,2T0X1 Traffic Management,Traffic Management
Air Force,0,2T2X1,2T2X1 Air Transportation,Air Transportation
Air Force,0,2T3X1,2T3X1 Vehicle and Vehicular Equipment Maintenance,Vehicle and Vehicular Equipment Maintenance
Air Force,0,2T3X2,2T3X2 Special Vehicle Maintenance,Special Vehicle Maintenance
Air Force,0,2T3X5,2T3X5 Vehicle Body Maintenance,Vehicle Body Maintenance
Air Force,0,2T3X7,2T3X7 Vehicle Management and Analysis,Vehicle Management and Analysis
Air Force,0,2W0X1,2W0X1 Munitions Systems,Munitions Systems
Air Force,0,2W1X1,2W1X1 Aircraft Armament Systems,Aircraft Armament Systems
Air Force,0,2W2X1,2W2X1 Nuclear Weapons,Nuclear Weapons
Air Force,1,4A0X1,4A0X1 Health Services Management,Health Services Management
Air Force,1,4A1X1,4A1X1 Medical Materiel,Medical Materiel
Air Force,1,4A2X1,4A2X1 Biomedical Equipment,Biomedical Equipment
Air Force,1,4C0X1,4C0X1 Mental Health Service,Mental Health Service
Air Force,1,4D0X1,4D0X1 Diet Therapy,Diet Therapy
Air Force,1,4E0X1,4E0X1 Public Health,Public Health
Air Force,1,4H0X1,4H0X1 Cardiopulmonary Laboratory,Cardiopulmonary Laboratory
Air Force,1,4J0X2,4J0X2 Physical Medicine,Physical Medicine
Air Force,1,4M0X1,4M0X1 Aerospace Physiology,Aerospace Physiology
Air Force,1,4N0X1,4N0X1 Aerospace Medical Service,Aerospace Medical Service
Air Force,1,4N1X1,4N1X1 Surgical Service,Surgical Service
Air Force,1,4P0X1,4P0X1 Pharmacy,Pharmacy
Air Force,1,4R0X1,4R0X1 Diagnostic Imaging,Diagnostic Imaging
Air Force,1,4T0X1,4T0X1 Medical Laboratory,Medical Laboratory
Air Force,1,4T0X2,4T0X2 Histopathology,Histopathology
Air Force,1,4T0X3,4T0X3 Cytotechnology,Cytotechnology
Air Force,1,4V0X1,4V0X1 Optometry,Optometry
Air Force,1,4Y0X1,4Y0X1 Dental Assistant,Dental Assistant
Air Force,1,4Y0X2,4Y0X2 Dental Laboratory,Dental Laboratory
Air Force,1,1A0X1,1A0X1 In-Flight Refueling,In-Flight Refueling
Air Force,1,1A1X1,1A1X1 Flight Engineer,Flight Engineer
Air Force,1,1A2X1,1A2X1 Aircraft Loadmaster,Aircraft Loadmaster
Air Force,1,1A3X1,1A3X1 Airborne Mission Systems,Airborne Mission Systems
Air Force,1,1A4X1,1A4X1 Airborne Battle Management Systems,Airborne Battle Management Systems
Air Force,1,1A6X1,1A6X1 Flight Attendant,Flight Attendant
Air Force,1,1A7X1,1A7X1 Aerial Gunner,Aerial Gunner
Air Force,1,1A8X1,1A8X1 Airborne Cryptologic Linguist,Airborne Cryptologic Linguist
Air Force,1,1C0X2,1C0X2 Aviation Resource Management,Aviation Resource Management
Air Force,1,1C1X1,1C1X1 Air Traffic Control,Air Traffic Control
Air Force,1,1C2X1,1C2X1 Combat Control,Combat Control
Air Force,1,1C3X1,1C3X1 Command Post,Command Post
Air Force,1,1C4X1,1C4X1 Tactical Air Command and Control,Tactical Air Command and Control
Air Force,1,1C5X1,1C5X1 Aerospace Control and Warning Systems,Aerospace Control and Warning Systems
Air Force,1,1C6X1,1C6X1 Space Systems Operations,Space Systems Operations
Air Force,1,1C7X1,1C7X1 Airfield Management,Airfield Management
Air Force,1,1N0X1,1N0X1 Operations Intelligence,Operations Intelligence
Air Force,1,1N1X1,1N1X1 Imagery Analysis,Imagery Analysis
Air Force,1,1N2X1,1N2X1 Communication Signals Intelligence Production,Communication Signals Intelligence Production
Air Force,1,1N3XX,1N3XX Cryptologic Linguist,Cryptologic Linguist
Air Force,1,1N4X1,1N4X1 Network Intelligence Analysis,Network Intelligence Analysis
Air Force,1,1N5X1,1N5X1 Electronic Signals Intelligence Exploitation,Electronic Signals Intelligence Exploitation
Air Force,1,1N6X1,1N6X1 Electronic System Security Assessment,Electronic System Security Assessment
Air Force,1,1P0X1,1P0X1 Aircrew Equipment,Aircrew Equipment
Air Force,1,1T0X1,"1T0X1 Survival, Evasion, Resistance and Escape Operations","Survival, Evasion, Resistance and Escape Operations"
Air Force,1,1T2X1,1T2X1 Pararescue,Pararescue
Air Force,1,1S0X1,1S0X1 Safety,Safety
Air Force,1,1U0X1,1U0X1 Unmanned Aerospace System (UAS) Sensor Operator,Unmanned Aerospace System (UAS) Sensor Operator
Air Force,1,1W0X1,1W0X1 Weather,Weather
Air Force,1,1W0X2,1W0X2 Special Operations Weather (Combat Weather),Special Operations Weather (Combat Weather)
Air Force,1,7S0X1,7S0X1 Special Investigations,Special Investigations
Air Force,1,3D0X1,3D0X1 Knowledge Operations Management,Knowledge Operations Management
Air Force,1,3D0X2,3D0X2 Cyber Systems Operations,Cyber Systems Operations
Air Force,1,3D0X3,3D0X3 Cyber Surety,Cyber Surety
Air Force,1,3D0X4,3D0X4 Computer Systems Programming,Computer Systems Programming
Air Force,1,3D1X1,3D1X1 Client Systems,Client Systems
Air Force,1,3D1X2,3D1X2 Cyber Transport,Cyber Transport
Air Force,1,3D1X3,3D1X3 RF Transmission Systems,RF Transmission Systems
Air Force,1,3D1X4,3D1X4 Spectrum Operations,Spectrum Operations
Air Force,1,3D1X5,3D1X5 Radar,Radar
Air Force,1,3D1X6,3D1X6 Airfield Systems,Airfield Systems
Air Force,1,3D1X7,3D1X7 Cable and Antenna Systems,Cable and Antenna Systems
Air Force,1,3H0X1,3H0X1 Historian,Historian
Air Force,1,3M0X1,3M0X1 Services,Services
Air Force,1,3N0X1,3N0X1 Public Affairs,Public Affairs
Air Force,1,3N0X2,3N0X2 Radio and Television Broadcasting,Radio and Television Broadcasting
Air Force,1,3N1X1,3N1X1 Regional Band,Regional Band
Air Force,1,3N2X1,3N2X1 Premier Band,Premier Band
Air Force,1,3P0X1,3P0X1 Security Forces,Security Forces
Air Force,1,3E0X1,3E0X1 Electrical Systems,Electrical Systems
Air Force,1,3E0X2,3E0X2 Electrical Power Production,Electrical Power Production
Air Force,1,3E1X1,"3E1X1 Heating, Ventilation, Air Conditioning and Refrigeration","Heating, Ventilation, Air Conditioning and Refrigeration"
Air Force,1,3E2X1,3E2X1 Pavements and Construction Equipment,Pavements and Construction Equipment
Air Force,1,3E3X1,3E3X1 Structural,Structural
Air Force,1,3E4X2,3E4X2 Water and Fuels Systems Maintenance,Water and Fuels Systems Maintenance
Air Force,1,3E4X3,3E4X3 Pest Management,Pest Management
Air Force,1,3E5X1,3E5X1 Engineering,Engineering
Air Force,1,3E6X1,3E6X1 Operations Management,Operations Management
Air Force,1,3E7X1,3E7X1 Fire Protection,Fire Protection
Air Force,1,3E8X1,3E8X1 Explosive Ordnance Disposal,Explosive Ordnance Disposal
Air Force,1,3E9X1,3E9X1 Emergency Management,Emergency Management
Air Force,1,3S0X1,3S0X1 Personnel,Personnel
Air Force,1,3S1X1,3S1X1 Military Equal Opportunity,Military Equal Opportunity
Air Force,1,3S2X1,3S2X1 Education and Training,Education and Training
Air Force,1,3S3X1,3S3X1 Manpower,Manpower
Air Force,1,3V0X0,3V0X0 Visual Information Services,Visual Information Services
Air Force,1,3V0X1,3V0X1 Visual Information,Visual Information
Air Force,1,3V0X2,3V0X2 Still Photography,Still Photography
Air Force,1,3V0X3,3V0X3 Visual Information Production-Documentation,Visual Information Production-Documentation
Air Force,1,4B0X1,4B0X1 Bioenvironmental Engineer,Bioenvironmental Engineer
Army,1,88M,88M Motor Transport Operator,Motor Transport Operator
Army,1,88O,88O Transportation Officer,Transportation Officer
Army,1,88Z,88Z Transportation Senior Sergeant,Transportation Senior Sergeant
Army,1,15R,15R AH-64 Attack Helicopter Repairer,AH-64 Attack Helicopter Repairer
Army,1,15X,15X AH-64A Armament and Electrical System Repairer,AH-64A Armament and Electrical System Repairer
Army,1,15Y,15Y AH-64D Armament/Electrical/Avionics Repairer,AH-64D Armament/Electrical/Avionics Repairer
Army,1,14O,14O Air Defense Artillery Officer,Air Defense Artillery Officer
Army,1,14Z,14Z Air Defense Artillery Senior Sergeant,Air Defense Artillery Senior Sergeant
Army,1,94D,94D Air Traffic Control Equipment Repairer,Air Traffic Control Equipment Repairer
Army,1,15Q,15Q Air Traffic Control Operator,Air Traffic Control Operator
Army,1,15K,15K Aircraft Components Repair Supervisor,Aircraft Components Repair Supervisor
Army,1,15F,15F Aircraft Electrician,Aircraft Electrician
Army,1,15Z,15Z Aircraft Maintenance Senior Sergeant,Aircraft Maintenance Senior Sergeant
Army,1,15H,15H Aircraft Pneudraulics Repairer,Aircraft Pneudraulics Repairer
Army,1,15B,15B Aircraft Powerplant Repairer,Aircraft Powerplant Repairer
Army,1,15D,15D Aircraft Powertrain Repairer,Aircraft Powertrain Repairer
Army,1,15G,15G Aircraft Structural Repairer,Aircraft Structural Repairer
Army,1,921A,921A Airdrop Systems Technician,Airdrop Systems Technician
Army,1,350F,350F All Source Intelligence Technician,All Source Intelligence Technician
Army,1,91E,91E Allied Trades Specialist (Machinist),Allied Trades Specialist (Machinist)
Army,1,89B,89B Ammunition Specialist,Ammunition Specialist
Army,1,890A,890A Ammunition Technician,Ammunition Technician
Army,1,68T,68T Animal Care Specialist,Animal Care Specialist
Army,1,45K,45K Armament Repairer,Armament Repairer
Army,1,19O,19O Armor Officer,Armor Officer
Army,1,19Z,19Z Armor Senior Sergeant,Armor Senior Sergeant
Army,1,63D,63D Artillery Mechanic,Artillery Mechanic
Army,1,92A,92A Automated Logistical Specialist,Automated Logistical Specialist
Army,1,39B,39B Automatic Test Equipment Operator and Maintainer,Automatic Test Equipment Operator and Maintainer
Army,1,915A,915A Automotive Maintenance Warrant Officer,Automotive Maintenance Warrant Officer
Army,1,14S,14S AVENGER Crewmember,AVENGER Crewmember
Army,1,27T,27T AVENGER System Repairer,AVENGER System Repairer
Army,1,15O,15O Aviation Officer,Aviation Officer
Army,1,15P,15P Aviation Operations Specialist,Aviation Operations Specialist
Army,1,94L,94L Avionic Communications Equipment Repairer,Avionic Communications Equipment Repairer
Army,1,15N,15N Avionic Mechanic,Avionic Mechanic
Army,1,94R,94R Avionic Radar Repairer,Avionic Radar Repairer
Army,1,02Z,02Z Bands Senior Sergeant,Bands Senior Sergeant
Army,1,02C,02C Baritone or Euphonium Player,Baritone or Euphonium Player
Army,1,02K,02K Bassoon Player,Bassoon Player
Army,1,68A,68A Biomedical Equipment Specialist,Biomedical Equipment Specialist
Army,1,14R,14R Bradley Linebacker Crewmember,Bradley Linebacker Crewmember
Army,1,21C,21C Bridge Crewmember,Bridge Crewmember
Army,1,46R,46R Broadcast Journalist,Broadcast Journalist
Army,1,25L,25L Cable Systems lnstaller - Maintainer,Cable Systems lnstaller - Maintainer
Army,1,13B,13B Cannon Crewmember,Cannon Crewmember
Army,1,13E,13E Cannon Fire Direction Specialist,Cannon Fire Direction Specialist
Army,1,88H,88H Cargo Specialist,Cargo Specialist
Army,1,21W,21W Carpentry and Masonry Specialist,Carpentry and Masonry Specialist
Army,1,19D,19D Cavalry Scout,Cavalry Scout
Army,1,27G,27G CHAPARRAL and REDEYE Repairer,CHAPARRAL and REDEYE Repairer
Army,1,56O,56O Chaplain,Chaplain
Army,1,56M,56M Chaplain Assistant,Chaplain Assistant
Army,1,74D,74D Chemical Operations Specialist,Chemical Operations Specialist
Army,1,74O,"74O Chemical, Biological, Radiological and Nuclear (CBRN) Officer","Chemical, Biological, Radiological and Nuclear (CBRN) Officer"
Army,1,38O,38O Civil Affairs Officer,Civil Affairs Officer
Army,1,38B,38B Civil Affairs Specialist,Civil Affairs Specialist
Army,1,02J,02J Clarinet Player,Clarinet Player
Army,1,73BO,73BO Clinical Psychologist,Clinical Psychologist
Army,1,25V,25V Combat Documentation & Production Specialist,Combat Documentation & Production Specialist
Army,1,21B,21B Combat Engineer,Combat Engineer
Army,1,21Z,21Z Combat Engineering Senior Sergeant,Combat Engineering Senior Sergeant
Army,1,35H,35H Common Ground Station Operator,Common Ground Station Operator
Army,1,98H,98H Communications Locator/Interceptor,Communications Locator/Interceptor
Army,1,21V,21V Concrete and Asphalt Equipment Operator,Concrete and Asphalt Equipment Operator
Army,1,21H,21H Construction Engineering Supervisor,Construction Engineering Supervisor
Army,1,91L,91L Construction Equipment Repairer,Construction Equipment Repairer
Army,1,21N,21N Construction Equipment Supervisor,Construction Equipment Supervisor
Army,1,02B,02B Cornet or Trumpet Player,Cornet or Trumpet Player
Army,1,31E,31E Corrections Specialist,Corrections Specialist
Army,1,351L,351L Counterintelligence Technician,Counterintelligence Technician
Army,1,97Z,97Z Counterintelligence/Human Intelligence Senior Sergeant,Counterintelligence/Human Intelligence Senior Sergeant
Army,1,35L,35L Counterintelligence Agent,Counterintelligence Agent
Army,1,21F,21F Crane Operator,Crane Operator
Army,1,31D,31D Criminal Investigation Special Agent,Criminal Investigation Special Agent
Army,1,35P,35P Cryptologic Communications,Cryptologic Communications
Army,1,98G,98G Cryptologic Linguist,Cryptologic Linguist
Army,1,63O,63O Dental Corps Officer,Dental Corps Officer
Army,1,68E,68E Dental Specialist,Dental Specialist
Army,1,21D,21D Diver,Diver
Army,1,14J,14J Early Warning System Operator,Early Warning System Operator
Army,1,02U,02U Electric Bass Guitar Player,Electric Bass Guitar Player
Army,2,98J,98J Electronic Intelligence Interceptor/Analyst,Electronic Intelligence Interceptor/Analyst
Army,2,94W,94W Electronic Maintenance Chief,Electronic Maintenance Chief
Army,2,29E,29E Electronic Warfare Specialist,Electronic Warfare Specialist
Army,2,12O,12O Engineer Officer,Engineer Officer
Army,2,89D,89D Explosive Ordnance Disposal Specialist,Explosive Ordnance Disposal Specialist
Army,2,92S,92S Fabric Repair Specialist,Fabric Repair Specialist
Army,2,13R,13R Field Artillery Firefinder Radar Operator,Field Artillery Firefinder Radar Operator
Army,2,13W,13W Field Artillery Meteorological Crewmember,Field Artillery Meteorological Crewmember
Army,2,13O,13O Field Artillery Officer,Field Artillery Officer
Army,2,13Z,13Z Field Artillery Senior Sergeant,Field Artillery Senior Sergeant
Army,2,13S,13S Field Artillery Surveyor,Field Artillery Surveyor
Army,2,13D,13D Field Artillery Tactical Data Systems Specialist,Field Artillery Tactical Data Systems Specialist
Army,2,131A,131A Field Artillery Targeting Technician,Field Artillery Targeting Technician
Army,2,36B,36B Financial Management Technician,Financial Management Technician
Army,2,45G,45G Fire Control System Repairer,Fire Control System Repairer
Army,2,13F,13F Fire Support Specialist,Fire Support Specialist
Army,2,21M,21M Firefighter,Firefighter
Army,2,61NO,61NO Flight Surgeon,Flight Surgeon
Army,2,02G,02G Flute or Piccolo Player,Flute or Piccolo Player
Army,2,92G,92G Food Service Specialist,Food Service Specialist
Army,2,02D,02D French Horn Player,French Horn Player
Army,2,63G,63G Fuel and Electrical Systems Repairer,Fuel and Electrical Systems Repairer
Army,2,21J,21J General Construction Equipment Operator,General Construction Equipment Operator
Army,2,21X,21X General Engineering Supervisor,General Engineering Supervisor
Army,2,96R,96R Ground Surveillance Systems Operator,Ground Surveillance Systems Operator
Army,2,02T,02T Guitar Player,Guitar Player
Army,2,68W,68W Health Care Specialist,Health Care Specialist
Army,2,21E,21E Heavy Construction Equipment Operator,Heavy Construction Equipment Operator
Army,2,63S,63S Heavy-Wheel Vehicle Mechanic,Heavy-Wheel Vehicle Mechanic
Army,2,68M,68M Hospital Food Service Specialist,Hospital Food Service Specialist
Army,2,351M,351M Human Intelligence Collection Technician,Human Intelligence Collection Technician
Army,2,35M,35M Human Intelligence Collector,Human Intelligence Collector
Army,2,42BO,42BO Human Resources Officer,Human Resources Officer
